sponsor_class,nct_id,brief_title,official_title,brief_summary,detailed_description,overall_status,why_stopped,start_date,completion_date,primary_completion_date,study_type,phases,allocation,intervention_model,masking,primary_purpose,enrollment_count,enrollment_type,interventions_json,interventions_types,interventions_names,is_success
OTHER,NCT02282579,Spanish Retrospective Study to Evaluate the Efficacy and Safety of Targeted Therapies After Pazopanib as First-line Therapy,"Spanish Retrospective Study to Evaluate the Efficacy and Safety of Targeted Therapies After Pazopanib as First-line Therapy, in Patients With Metastatic Renal Cell Carcinoma in Daily Clinical Practice",The purpose of this retrospective observational study was to analyze the effect of targeted therapies administered as second-line treatment after failure of pazopanib as well as increase the amount of information available on efficacy and safety of pazopanib as a first-line therapy in practice usual for the clinical treatment of metastatic Renal Carcinoma.,,COMPLETED,,2014-10,2015-04,2015-02,OBSERVATIONAL,unknown,,,,,300,ACTUAL,"[{""name"": ""Pazopanib"", ""type"": ""DRUG"", ""description"": ""Non interventional study"", ""mesh_terms"": [], ""other_ids"": []}]",DRUG,pazopanib,1
OTHER_GOV,NCT04359979,Tamsulosin for Thyroid Lid Retraction,Treatment With Tamsulosin for Upper Eyelid Retraction Related to Thyroid Eye Disease.,"The purpose of this study is to examine the effect of using Tamsulosin for treatment of eyelid retraction as part of thyroid eye disease. The treatment will be offered to all thyroid patients suffering from eyelid retraction who are treated at the thyroid clinic in Sheba's Ophthalmology department. All patient will receive information about the drug Tamsulosin, the possible side effects, and the alternative treatment options for retraction.

Patients recruited will take 0.4mg/day Tamsulosin for 3 months and will have follow-ups at 1 week, 1 month and 3 months to evaluate the retraction status.","Thyroid eye disease is a common autoimmune disorder caused by antibodies directed against receptors present in the thyroid cells and extra-ocular muscles and soft tissue of the orbit. The disorder is characterised by enlargement of the extra-ocular muscles, fatty and connective tissue volume.

Upper lid retraction is the most common sign of the eye disease (present in up to 92%). The causes for retraction are not fully understood. It may be related to inflammation of the Levator muscle and the Muller muscle, or related to over sympathetic activity causing overstimulation of the Muller muscle.

Upper lid retraction severity can range from very light to severe, with scleral show, eye dryness and even exposure keratopathy. Additionally it can have a very significant effect on the patient's appearance (a constant surprised look).

Treatments for lid retraction include aggressive lubrication and tarsorrhaphy if needed (sewing the eyelids together).

The Muller is a smooth muscle which elevates the upper eyelid and is sympathetically innervated (alpha receptor).

The drug Tamsulosin which is a selective alpha1 receptor antagonist is commonly used today for benign prostatic hyperplasia (relaxing the prostate muscle).

In this study we would like to test using Tamsulosin for treatment of lid retraction caused by thyroid eye disease. We hypothesise that the relaxation of the Muller muscle may have a beneficial effect on the retraction.",UNKNOWN,,2020-05-01,2023-12-01,2023-05-01,INTERVENTIONAL,NA,NA,SINGLE_GROUP,NONE,TREATMENT,50,ESTIMATED,"[{""name"": ""Tamsulosin"", ""type"": ""DRUG"", ""description"": ""selective alpha1 receptor antagonist"", ""mesh_terms"": [], ""other_ids"": []}]",DRUG,tamsulosin,0
OTHER,NCT04105179,How TKA Implants Affect Muscle Quality and Activity During Daily Living and Immunological Response,Do TKA Implant Designs Affect Muscle Mass Change and Muscle Activity During Activities of Daily Living as Well as the Patient Immunological Response,"This study compares two total knee replacement implants to asses muscle function and quality, and the immune response to the implants. 30 patients will receive the Smith and Nephew Journey II implant, while 30 patients will receive the Zimmer NexGen LPS-flex implant. 15 healthy controls will also be recruited and compared.","Patients will undergo biomechanics testing while they complete sit-to-stand, stand-to-sit, lateral step down, level walking, and single leg balance tasks up to 1 month before surgery, and 6 and 12 months after surgery. They will also undergo MRI imaging up to 1 month before surgery and 12 months after surgery to assess muscle quality. A secondary outcome will also be to analyze the immunological response in the patients who received femoral components made of oxidized zirconium versus contemporary components made of cobalt chrome. Fifteen healthy controls will also participate in the study and will undergo the biomechanical, MRI and blood draws at a single visit.",UNKNOWN,,2019-04-29,2023-12,2023-12,INTERVENTIONAL,NA,RANDOMIZED,PARALLEL,SINGLE,TREATMENT,75,ESTIMATED,"[{""name"": ""Zimmer NexGen LPS-Flex"", ""type"": ""DEVICE"", ""description"": ""Patients will be randomly assigned to 1 of 2 devices"", ""mesh_terms"": [], ""other_ids"": []}, {""name"": ""Smith & Nephew Journey II"", ""type"": ""DEVICE"", ""description"": ""Patients will be randomly assigned to 1 of 2 devices"", ""mesh_terms"": [], ""other_ids"": []}]",DEVICE;DEVICE,zimmer nexgen lps-flex;smith & nephew journey ii,0
OTHER,NCT04141579,Functional Improvement of Coronary Artery Narrowing by Cholesterol Reduction With a PCSK9 Antibody,Functional Improvement of Non-infarcT relaTed Coronary Artery Stenosis by Extensive LDL-C Reduction With a PCSK9 Antibody,"In a large number of patients who experienced an acute coronary syndrome, multiple narrowings of the coronary arteries are identified. Mechanical treatment of the infarct related artery is indisputable, yet mechanical treatment of other bystander lesions in non-infarct related arteries is controversial.

Low-density lipoprotein cholesterol can speed up the formation of these coronary artery narrowings, and can increase the risk of a second event.

The investigators want to investigate if treating patients with the new cholesterol-lowering drug evolocumab in addition to statin therapy ameliorates blood flow and reduces atherosclerotic plaque size compared with placebo. Improved blood flow and a reduction of plaque size could prevent the need for additional stenting or surgery.","In a large number of patients presenting with acute coronary syndrome (ACS) multivessel disease is identified. Mechanical treatment of the infarct related artery (IRA) is indisputable, yet mechanical treatment of other bystander lesions in non-infarct related arteries (non-IRAs) is controversial. Some randomized studies have favored preventive complete revascularization during invasive coronary angiography (ICA) over conservative medical treatment with deferred percutaneous intervention (PCI). Yet patient selection and medical treatment in the conservative medical treatment groups were suboptimal.

Revascularization of lesions in the non-IRA can be guided by fractional flow reserve (FFR). In current practice, a value of 0.80 or lower is often used to mark a functionally significant stenosis at a stabilized moment after initial hyperemic response. However, recent evidence suggests that hyperemic response to adenosine is impaired in patients with ACS, which could underestimate how flow-limiting a non-culprit lesion is as measured by FFR. A large patient-level meta-analysis of multiple FFR trials showed that FFR values below 0.67 most evidently identify those at risk of MI or death. Thus, in patients with values above 0.67, mechanical revascularization has less apparent benefit as compared to patients with values below 0.67. The threshold of 0.67 could be a lower safety margin applied for non-IRA lesions, with percutaneous intervention (PCI) as treatment. For values between 0.67 and 0.85, medical treatment could be optimized using the latest generation LDL-C lowering agents on top of current high-intensity statin therapy (HIST) before directly stenting the lesion.

Proprotein convertase subtilisin/kexin type 9 (PCSK9) inhibitors have shown to induce regression of coronary atherosclerotic plaque volume (PV) in patients with coronary artery disease (CAD). As high-risk lesions with large plaque burden (PB) and lipid content are frequently present in ACS, a rapid response on PB and PV can be expected when starting PCSK9-inhibitors on top of HIST. In addition to plaque size, plaque morphology is important in determining residual risk. Lipid-rich plaques have recently again shown to increase the risk of major adverse cardiac events. Lipid rich plaque can be identified using Near-InfraRed Spectroscopy (NIRS). The amount of lipid is represented in the lipid core burden index (LCBI) and is an independent risk factor for future coronary events. A recent study demonstrated the effect on plaque composition in 52 weeks. In this study, an effect in 12 weeks will be evaluated as a potential independent explanation of reduced events in long-term clinical follow-up studies.The change in plaque volume might be closely related to a change in FFR.

Furthermore, it is now well-appreciated that an ACS, a result of atherosclerotic plaque destabilization, initiates a temporary acceleration of atherogenesis in itself. An ACS induces rapid activation of the bone marrow hematopoietic stem- and progenitor cells resulting in monocytosis and activation of innate immune cells, which subsequently accelerate atherosclerosis progression throughout the body. Hypercholesterolemia also activates the innate immune system bone marrow progenitors resulting in long-term activation of the innate immune system. In patients with familial hypercholesterolemia (FH), PCSK9 treatment reduced monocyte CCR2 expression and ex-vivo migratory capacity. Therefore, in the first weeks after an ACS occurred, there is an optimal time window for preventing atherosclerosis progression by powerful lowering of plasma cholesterol.

This pharmaco-invasive strategy with a combination of HIST and a PCSK9-inhibitor could possibly prevent mechanical revascularization (PCI or CABG) in a large cohort of patients. Evolocumab was the first PCSK9-inhibitor approved for clinical use in 2015 for lowering of LDL-C as an adjunct to diet in patients with FH, primary hypercholesterolemia and in patients with homozygous familial hypercholesterolemia (HoFH). Evolocumab has been evaluated in several large scale studies as GLAGOV (N = 968) and FOURIER (N= 27564) on surrogate and clinical endpoints with important benefits and established safety and tolerability.

In this study we want to investigate the effect of maximal LDL-C reduction by evolocumab in addition to HIST compared to placebo on functional impairment of non-IRA lesions, measured by FFR, and the change in NIRS derived lipid core burden index at the 4mm maximal segment (MaxLCBI4mm) from baseline to follow-up in the non-IRA. Secondly, we want to evaluate the change in multiple plaque characteristics, measured by intravascular ultrasound (IVUS). Finally, we will investigate the change in microvascular function, change in pro-inflammatory monocyte phenotype and explore correlations between on treatment LDL-C, LCBI, plaque characteristics and FFR.",COMPLETED,,2020-11-10,2023-11-09,2023-11-09,INTERVENTIONAL,NA,RANDOMIZED,PARALLEL,TRIPLE,TREATMENT,150,ACTUAL,"[{""name"": ""Evolocumab 140 MG/ML [Repatha]"", ""type"": ""DRUG"", ""description"": ""Evolocumab (also known as Repatha, formerly referred to as AMG 145) is a human monoclonal immunoglobulin G2 (IgG2) that specifically binds to proprotein convertase subtilisin/kexin type 9 (PCSK9) preventing its interaction with the low-density lipoprotein receptor (LDLR). The inhibition of PCSK9 by evolocumab leads to increased LDLR expression and subsequent decreased circulating concentrations of low-density lipoprotein cholesterol (LDL-C)."", ""mesh_terms"": [], ""other_ids"": []}, {""name"": ""Placebo"", ""type"": ""DRUG"", ""description"": ""Matching placebo"", ""mesh_terms"": [], ""other_ids"": []}]",DRUG;DRUG,evolocumab 140 mg/ml [repatha];placebo,1
OTHER,NCT06753279,Clinical Significance of Leukocyte Cell Population Data in Patients with Myeloproliferative Neoplasms (MPNs),Clinical Significance of Leukocyte Cell Population Data in Patients with Myeloproliferative Neoplasms (MPNs),"Myeloproliferative neoplasms (MPNs) are a group of clonal hematopoietic disorders which categorized according to the World Health Organization (WHO) into Philadelphia Chromosome positive (Ph +ve) including chronic myeloid leukemia (CML) and Philadelphia Chromosome negative (Ph -ve) like essential thrombocythemia (ET), polycythaemia vera (PV), and primary myelofibrosis (PMF) .

the aim of the study is to Detection of leukocyte cell population data in patients with MPNs and Relation between leukocyte cell population and patients' clinical status.","MPNs are characterized by sepsis, thrombosis, myelofibrosis and leukemic transformation as critical complications of the disease. Most recently, the MPNs have been described as ""Inflammatory Diseases"" because the chronic inflammation being identified as a key factor in the development and progression of the disease . It is characterized by persistent activation of immune cells, elevated leukocyte and platelet counts, release of various mediators, DNA and tissue damage . Consequently. when neutrophils are activated by different stimuli, they undergo degranulation and release neutrophil extracellular traps (NETs) and microparticles, leading to thrombosis in MPNs by blocking blood vessels . Monocyte and its distribution are also a simple marker of activation useful for early sepsis detection .

The leukocyte cell population data (CPD) are parameters used to provide quantitative information on the morphological and functional characteristics of leukocytes. CPD assessment involves measuring neutrophil and monocyte forward scatter (Z axis) for cell size and side scatter (X axis) for internal complexity. Additionally, fluorescence intensity (Y axis) for DNA/RNA content and cell population variability (dispersion width) can also be evaluated.

Therefore, assessing of these parameters in the context of sepsis and thrombosis as a complication of MPNs helps to understand how these conditions interact at the cellular level and provides insights into morphological changes and abnormal leukocyte distribution for early detection and management .",NOT_YET_RECRUITING,,2025-01-01,2026-03-01,2026-01-01,OBSERVATIONAL,unknown,,,,,80,ESTIMATED,[],,,0
INDUSTRY,NCT01909479,"A Phase 3, Multicenter Study To Evaluate The Efficacy And Safety Of MOD-4023 In Adults With Growth Hormone Deficiency","A Phase 3, Multicenter Study Designed To Evaluate The Efficacy And Safety Of A Long Acting hGH Product (MOD-4023) In Adult Subjects With Growth Hormone Deficiency","This will be a randomized, double-blind, placebo-controlled, parallel-group, multicenter study in adult subjects with GHD to assess the safety and efficacy of a long-acting, once weekly injection of modified hGH (MOD-4023).",,TERMINATED,Main Study was completed. LT-OLE was discontinued as sufficient safety data has been generated.,2013-06,2018-08,2016-08,INTERVENTIONAL,PHASE3,RANDOMIZED,PARALLEL,QUADRUPLE,TREATMENT,202,ACTUAL,"[{""name"": ""MOD-4023"", ""type"": ""DRUG"", ""description"": ""Individualized once weekly dose of MOD-4023"", ""mesh_terms"": [], ""other_ids"": []}, {""name"": ""Placebo"", ""type"": ""OTHER"", ""description"": ""Once weekly administration of placebo"", ""mesh_terms"": [], ""other_ids"": []}]",DRUG;OTHER,mod-4023;placebo,0
OTHER,NCT00005079,"Timing of Menstrual Cycle and Surgery in Treating Premenopausal Women With Stage I, Stage II, or Stage III Breast Cancer","Timing of Breast Cancer Surgery, Menstrual Cycle and Prognosis","RATIONALE: The timing of breast cancer surgery within the menstrual cycle may affect outcome. It is not yet known if treatment is more effective during the initial or final phase of the menstrual cycle.

PURPOSE: Phase III trial to determine the effect of menstrual cycle phase at surgery in treating premenopausal women who have stage I, stage II, or stage III breast cancer.","OBJECTIVES:

* Determine if the timing of breast surgery during the menstrual cycle impacts disease recurrence, progression, or death among different racial groups in premenopausal women with stage I, II, or III breast cancer.
* Determine if definitive breast cancer surgeries (e.g., lumpectomy or mastectomy) performed during the follicular phase result in poorer prognosis (recurrence, disease progression, or death) compared with surgeries performed during the midcycle or luteal phases in this patient population.

OUTLINE: This is a multicenter study.

Patients undergo either fine needle aspiration concurrently with definitive breast surgery (mastectomy or lumpectomy) or needle-directed excisional biopsy followed by definitive breast surgery.

Patients undergo serum collection for hormonal analysis preoperatively, 24 hours post operatively, at days 7 and 14, and at 3 months and urine collection for hormonal analysis beginning 24 hours prior to surgery and continuing daily until the onset of the next menses.

Patients complete a 30-minute telephone interview regarding medical, family, occupational, and reproductive history and lifestyle habits (e.g., diet, exercise, or environmental exposures). Beginning 24 hours prior to surgery and continuing until the onset of the next menses, patients complete a menstrual cycle journal indicating the start and length of menses.

Patients undergoing mastectomy are followed every 3 months for 1 year, every 6 months for 1 year, and then annually thereafter. Patients undergoing adjuvant therapy are followed every 3 months for 3 years and then every 6 months thereafter or every 4 months for 2 years and then every 6 months thereafter.

PROJECTED ACCRUAL: Approximately 400 patients will be accrued for this study within 2.5 years.",COMPLETED,,1999-01,2004-10,,INTERVENTIONAL,PHASE3,,,,TREATMENT,0,,"[{""name"": ""conventional surgery"", ""type"": ""PROCEDURE"", ""description"": """", ""mesh_terms"": [], ""other_ids"": []}]",PROCEDURE,conventional surgery,1
INDUSTRY,NCT01736579,"Long-Term Study of IGIV, 10% in Alzheimer´s Disease","A Study of the Long-Term Safety and Efficacy of Immune Globulin Intravenous (Human), 10% Solution (IGIV, 10%) in Mild to Moderate Alzheimer´s Disease","The purpose of this long-term study is to provide additional evidence of safety and efficacy of IGIV, 10% treatment in participants with Alzheimer´s Disease who have completed the Phase 3 Baxter precursor study 160701. All participants will receive IGIV, 10% at either 0.2 g/kg or 0.4 g/kg body weight depending on their treatment assignment in Baxter study 160701. Participants and investigators will be blinded to dose unless otherwise notified by the sponsor.",,TERMINATED,The study was terminated because the first Phase 3 did not demonstrate efficacy on the co-primary endpoints. The known safety profile remained unchanged.,2012-11-29,2013-06-04,2013-06-04,INTERVENTIONAL,PHASE3,NON_RANDOMIZED,PARALLEL,NONE,TREATMENT,6,ACTUAL,"[{""name"": ""Immune Globulin Intravenous (Human), 10% (IGIV, 10%)"", ""type"": ""DRUG"", ""description"": """", ""mesh_terms"": [], ""other_ids"": []}]",DRUG,"immune globulin intravenous (human), 10% (igiv, 10%)",0
OTHER,NCT01874379,"'M'-Technique, Guided Imagery, or Standard of Care on Anxiety and Pain Pre- & Post-operatively in Elective Joint Replacement Patients","Investigating the Effect of the 'M'-Technique, Guided Imagery, or Standard of Care on Anxiety and Pain Pre- & Post-operatively in Elective Joint Replacement Patients.","In the M-TIJRP protocol the investigators will utilize two Integrative Medicine modalities in a randomized, controlled study using either the 'M'-Technique® developed by Jane Buckle, PhD or Diane L. Tusek's Guided Imagery for Pre-Procedure/Surgery™ with nature sounds to determine their effects on a specific group of pre- and post-operative patients, compared to no integrative medicine intervention - considered Standard of Care. A total of 225 patients undergoing surgical hip or knee replacement will participate; one third of the patient population will receive the 'M'-Technique touch intervention, one third will receive Tusek's Guided Imagery intervention delivered by headsets monitored by therapists from our Center for Complementary Medicine (CCM) and one third will comprise the control group, consisting of routine preoperative \& postoperative care without integrated intervention.

Patients will be asked to complete Pain and Anxiety scales at four different timepoints throughout their hospital stay. These will occur at Same Day Surgery (pre-operatively), and Post Operatively Day 0, Day 1 \& Day 2.

Rationale: Patients are often at their most vulnerable just prior to surgery when their stress and anticipation are high and again immediately afterward when their energy is lower and their bodies are trying to accommodate after an invasive procedure. In addition, the patient and his or her family sense a lack of control and feel a rise in anxiety over the possible outcomes. This stress, anxiety, and pain associated with surgery and recovery can increase complication rates and slow recovery times resulting in longer hospital stays.",,UNKNOWN,,2012-12,,2014-06,INTERVENTIONAL,NA,RANDOMIZED,SINGLE_GROUP,NONE,TREATMENT,225,ESTIMATED,"[{""name"": ""'M'-Technique®"", ""type"": ""OTHER"", ""description"": ""'M'-Technique is a series of gentle stroking movements performed in a set sequence, with a set pressure of 3 on a scale of 0-10."", ""mesh_terms"": [], ""other_ids"": []}, {""name"": ""Guided Imagery"", ""type"": ""OTHER"", ""description"": ""Diane L. Tusek's Guided Imagery for Pre-Procedure/Surgery™ will be used."", ""mesh_terms"": [], ""other_ids"": []}, {""name"": ""Standard of Care"", ""type"": ""OTHER"", ""description"": ""Normal Procedures, no complementary medicine intervention."", ""mesh_terms"": [], ""other_ids"": []}]",OTHER;OTHER;OTHER,'m'-technique®;guided imagery;standard of care,0
OTHER_GOV,NCT06426979,Sequential Letrozole and Methotrexate Therapy Role in Treatment of Tubal Ectopic Pregnancy,Sequential Letrozole and Methotrexate Therapy Safely Improved the Outcomes of Medical Treatment of Tubal Ectopic Pregnancy,"Ectopic pregnancy (EP) is a common condition involving the implantation of fertilized ovum outside the uterine cavity, accounting for 1-2% of all pregnancies. Tubal EP (TEP) is the most common and poses a significant risk to maternal life. Early diagnosis and medical treatment, such as methotrexate (MTX) and the Fallopian tube (FT), have been studied. However, the efficacy of single-dose methotrexate (SD-MTX) is questionable, and the efficacy of two-dose versus SD-MTX for medical management of EP is being evaluated. High estrogens/progesterone ratios can disrupt embryonic motility and lead to TEP.",,COMPLETED,,2023-01-01,2024-01-01,2023-06-01,INTERVENTIONAL,NA,RANDOMIZED,PARALLEL,SINGLE,TREATMENT,200,ACTUAL,"[{""name"": ""Methotrexate"", ""type"": ""DRUG"", ""description"": ""Methotrexate 25 mg/ml was given as single-dose of intramuscular (IM) injection in a dose of 50 mg/m2."", ""mesh_terms"": [], ""other_ids"": []}, {""name"": ""Letrozole"", ""type"": ""DRUG"", ""description"": ""FEMARA 2.5 mg tablets two tablets daily"", ""mesh_terms"": [], ""other_ids"": []}]",DRUG;DRUG,methotrexate;letrozole,1
OTHER,NCT04640779,"Low-Dose Selinexor and Choline Salicylate for Non-Hodgkin or Hodgkin Lymphoma, Histiocytic/Dendritic Cell Neoplasm, or Relapsed or Refractory Multiple Myeloma","Phase Ib Trial of Low-Dose Selinexor (KPT-330) in Combination With Choline Salicylate (CS) for the Treatment of Patients With Non-Hodgkin Lymphoma (NHL), Hodgkin Lymphoma, Histiocytic/Dendritic Cell Neoplasms, or Multiple Myeloma","This phase Ib trial evaluates the side effects and best dose of choline salicylate given together with a low dose of selinexor in treating patients with non-Hodgkin or Hodgkin lymphoma, or multiple myeloma whose prior treatment did not help their cancer (refractory) or for patients with histiocytic/dendritic cell neoplasm. Anti-inflammatory drugs, such as choline salicylate lower the body's immune response and are used with other drugs in the treatment of some types of cancer. Selinexor may stop the growth of cancer cells by blocking a protein called CRM1 that is needed for cell growth. This trial may help doctors learn more about selinexor and choline salicylate as a treatment for with non-Hodgkin or Hodgkin lymphoma, histiocytic/dendritic cell neoplasm, multiple myeloma.","PRIMARY OBJECTIVE:

I. To evaluate the maximum tolerated dose (MTD) of choline salicylate (CS) that can be combined with selinexor twice weekly in patients with relapsed/refractory non-Hodgkin, Hodgkin lymphoma, histiocytic/dendritic cell neoplasms, or relapsed/refractory (RR) multiple myeloma (MM).

SECONDARY OBJECTIVE:

I. To evaluate the response \[overall response rate (ORR), clinical benefit rate (CBR) and duration of response (DOR)) of selinexor and CS in patients with relapsed/refractory non-Hodgkin or Hodgkin lymphoma, histiocytic/dendritic cell neoplasms, or multiple myeloma.

CORRELATIVE RESEARCH OBJECTIVE:

I. To determine if CRM1, RAD51, gH2AX, BRCA1 and 53BP1 expressions in malignant lymphoma cells, extramedullary myeloma, or histiocytic/dendritic cell neoplasm cells from those patients treated on this study have a predictive role.

OUTLINE: This is a dose-escalation study.

Patients receive selinexor orally (PO) twice a week (BIW) on days 1, 3, 8, 10, 15, 17, 22, and 24, and choline salicylate PO three times daily (TID) on days 1-28. Patients undergoing pharmacokinetic analysis receive choline salicylate beginning on day 3 of cycle 1 (D3C1) and beginning on day 1 of subsequent cycles. Treatment repeats every 28 days for up to 6 cycles in the absence of disease progression or unacceptable toxicity. Patents who achieve \>= stable disease continue treatment for an additional 6 cycles (maximum of 12 cycles) at the discretion of the treating physician and patient.",RECRUITING,,2021-02-08,2027-08-15,2026-08-15,INTERVENTIONAL,PHASE1,NA,SINGLE_GROUP,NONE,TREATMENT,39,ESTIMATED,"[{""name"": ""Choline Salicylate"", ""type"": ""DRUG"", ""description"": ""Given PO"", ""mesh_terms"": [], ""other_ids"": []}, {""name"": ""Selinexor"", ""type"": ""DRUG"", ""description"": ""Given PO"", ""mesh_terms"": [], ""other_ids"": []}]",DRUG;DRUG,choline salicylate;selinexor,0
OTHER,NCT03994679,Feasibility and Performance of Virtual Software for Virtual Bone Graft Planning in Cleft Patients,"Feasibility and Performance of Brainlab Iplan Software, in Comparison to Freeware for Virtual Bone Graft Planning in Unilateral Cleft Patients: a Retrospective, Pilot Study","Objective: The investigators aim to compare the licensed Brainlab Iplan® software, considered the gold standard, to the 3D slicers and Blender freeware for the segmentation of the unilateral cleft defect, as well as the creation of individual 3D template for development of the bone graft.

Study design Retrospective, pilot study Patients presenting at the division of maxillofacial surgery at the AZ Sint-Jan Brugge-Oostende av (Belgium) or the 1st department of pediatrics at the USemmelweis (Hungary) for bone graft surgery of the unilateral cleft receive a complete routine work-up, including a cone-beam CT (CBCT). A single surgeon will run all the virtual planning steps with both the licensed software and the freeware. Timing of the four major steps will be measured with a digital chronometer (http://www.online-stopwatch.com/download-stopwatch/).

Ten children, 5 Belgian patients and 5 Hungarian patients, that already had a work-up and surgery for a unilateral cleft requiring a bone graft, will be planned. This based on the preoperative CBCT that is already present, by using both the licensed software and free software. The investigator will register patients' age, gender and cleft size and register the required time to complete the different planning steps, as well as list the number of actions to complete the planning, and the occurrence of software bugs. In addition, the learning effect will be examined through comparison of the different cases planned by the same surgeon. All patients will be planned twice with an interval of two weeks in order to measure intra-observer reliability. Moreover, a second surgeon will also plan the 10 cases to measure inter-observer reliability.

Main study endpoints The investigators hypothesize that the licensed software is more user-friendly, ensuring a significant shorter overall treatment planning time to create a model for accurate bone transfer from the iliac crest to the jawbone.",,COMPLETED,,2018-11-12,2020-12-31,2020-07-31,OBSERVATIONAL,unknown,,,,,10,ACTUAL,[],,,1
INDUSTRY,NCT04408079,"A Study to Evaluate the Tolerance, Efficacy and Pharmacokinetics of TQB3558 Tablets","A Phase I, Open-label, Dose Escalation and Expansion Study to Evaluate the Tolerance, Efficacy and Pharmacokinetics of TQB3558 Tablets","This is a study to evaluate the maximum tolerated dose (MTD) , occurrence of all adverse events (AE) and serious adverse events (SAE) , pharmacokinetic parameters and antitumor effect of TQB3558 tablets in Chinese adult patients with advanced solid tumors .The study is divided into phase Ia and phase Ib. Phase Ia: dose escalation period, to evaluate the safety and tolerability of TQB3558 tablets, determine MTD; Phase Ib: effectiveness exploration period, to expand the safe and effective dose group, recommend appropriate dosage and method for subsequent clinical research.",,UNKNOWN,,2020-06-25,2022-10-31,2022-07-31,INTERVENTIONAL,PHASE1,NA,SINGLE_GROUP,NONE,TREATMENT,70,ESTIMATED,"[{""name"": ""TQB3558"", ""type"": ""DRUG"", ""description"": ""TQB3558 is a kinase inhibitor of the TRK protein family."", ""mesh_terms"": [], ""other_ids"": []}]",DRUG,tqb3558,0
OTHER,NCT00632879,The Study of Metabolic Syndrome in Hemodialysis Patients,The Study of Metabolic Syndrome in Hemodialysis Patients,"Metabolic syndrome (MS), comprised of central obesity, glucose intolerance, hyperinsulinemia, low HDL-cholesterol (HDL-C), high triglyceride (TG) and hypertension, results in markedly increased risk for cardiovascular disease in the general population. The National Cholesterol Education Program Adult Treatment Panel III (NCEP ATP III) report recommended the use of five variables for the diagnosis of the MS including waist circumference (WC), serum TG concentration, serum HDL-C concentration, blood pressure and fasting glucose concentration. A waist circumference of 80 cm in women and 90 cm in men would better identify those with the MS in Asian populations. However, the studies of modified asian criteria of metabolic syndrome in hemodialysis (HD) patients are scarce.

We will perform prevalence investigation, cross-sectional study, and prospective investigation for metabolic syndrome in our HD patients (around 360 at present). We will enroll all the patients who receive maintenance HD more than three months in our HD center. The patients who are hospitalizing, suffered from active malignancy, active infections, recent cardiovascular events and surgery will be excluded in the beginning of study. Biochemistry and anthropometric parameters including HDL-C, TG, insulin resistance index, high sensitivity C-reactive protein and WC will be collected and analyzed. We will also prospectively establish the mortality and hospitalization indices of these patients, to study the prognosis of HD patient with or without metabolic syndrome.

This study will be helpful to understand whether the application of a modified criteria of metabolic syndrome in HD patients is capable to predict cardiovascular events, hospitalization and mortality rates.",,UNKNOWN,,2007-03,2008-03,,OBSERVATIONAL,unknown,,,,,300,ESTIMATED,[],,,0
