nct_id,brief_title,overall_status,start_date,phases,enrollment_count
NCT00912002,"A Study of Absorption, Metabolism, Excretion and Mass Balance After a Single Dose Administration of MK-0941 (MK-0941-016)(COMPLETED)",COMPLETED,2008-10,PHASE1,6
NCT00229684,ARMOR (Analyzing Renal Mechanisms of Creatinine Excretion in Patients On tesaglitazaR),TERMINATED,2004-09,PHASE2,100
NCT01682902,A Randomised Trial Evaluating Continuous Subcutaneous Infusion of Formulations of NN1218 and NovoLog® in Subjects With Type 1 Diabetes,COMPLETED,2012-09,PHASE1,43
NCT05169502,Discovering Early Biomarkers in Circulating Endothelial Cells for Diabetes Complications by Single Cell RNA Sequencing,COMPLETED,2021-12-08,,40
NCT06704802,Observational Cohort Study Evaluating the Effectiveness of an Education Program (NGAYDAUTIEN) in Combination With Gliclazide MR in the Management of Uncontrolled Type 2 Diabetic Patients.,COMPLETED,2022-11-04,,678
NCT03805802,Influence of a Liquid Oat Bran Product on Blood Glucose in Patients With Poorly Controlled Type 2 Diabetes,COMPLETED,2019-02-04,NA,34
NCT04186702,New Concepts in Diabetic Macular Edema (DME),COMPLETED,2014-09-10,NA,150
NCT00146484,A Study of Two Versus Three Daily Injections in Children and Adolescents With Newly Diagnosed Type 1 Diabetes,COMPLETED,1996-04,PHASE2,100
NCT05144984,A Research Study Looking at How Well a Combination of the Medicines Semaglutide and NNC0480-0389 Works in People With Type 2 Diabetes,COMPLETED,2021-11-29,PHASE2,500
NCT04108884,RedStroke - Reducing Europe's Stroke Incidence,COMPLETED,2019-10-22,NA,1019
NCT00370084,Itopride Hydrochloride in Diabetes: Effects on Gastric Emptying and Glycemia,COMPLETED,2005-03,PHASE1|PHASE2,25
NCT03136484,Efficacy and Safety of Semaglutide Versus Canagliflozin as add-on to Metformin in Subjects With Type 2 Diabetes,COMPLETED,2017-03-15,PHASE3,788
NCT05198284,Prospective Decision Impact Clinical Utility Trial of KidneyIntelX,ACTIVE_NOT_RECRUITING,2021-11-01,,2000
NCT04678284,Diabetes Homeless Medication Support Single Arm Treatment Development Trial,COMPLETED,2021-03-24,NA,10
NCT05427084,Canagliflozin Targeting Vascular Inflammation,RECRUITING,2024-11-15,PHASE2|PHASE3,24
NCT05689684,Arabinoxylan-oligosaccharides (AXOS) for the Management of Type-2 Diabetes,COMPLETED,2022-11-07,NA,66
NCT02309502,Panretinal Photo-stimulation in Proliferative Diabetic Retinopathy,WITHDRAWN,2012-10,NA,0
NCT05585502,Impact of Muscle and Tendon Dysfunction in People With Type 2 Diabetes Mellitus,UNKNOWN,2022-12-10,NA,80
NCT00869102,Characterization of Beta Cell Failure,WITHDRAWN,2009-05,NA,0
NCT03449784,Assessment of Compliance With European and French Guidelines for the Management of Dyslipidaemias,RECRUITING,2012-05-01,,977
NCT01426802,Vildagliptin 50 mg Twice Daily in Patients With Type 2 Diabetes Mellitus Inadequately Controlled With Metformin,COMPLETED,2010-10,PHASE4,150
NCT01350284,The Effect of Natural Food Flavourings on Gastrointestinal and Cardiovascular Physiological Responses.,COMPLETED,2009-06,NA,9
NCT01136902,Measuring Retinal Vessel Caliber in Relation to Dark Adaptation and Blood Glucose Level,COMPLETED,2009-08,,14
NCT00965302,Sleeve Gastrectomy Versus Medical Management for Remission of Diabetes in Mild to Moderately Obese Patients,TERMINATED,2009-08,NA,50
NCT05090202,Prediabetes and Newly Diagnosed Diabetes in Chronic Heart Failure,UNKNOWN,2022-12-30,,100
NCT03511521,Use of NPH Versus Basal Bolus Insulin for Steroid Induced Hyperglycemia,TERMINATED,2018-03-27,PHASE4,3
NCT03534921,Improving Diabetes Outcomes for People With Severe Mental Illness (SMI),COMPLETED,2018-04-01,,46564
NCT00983021,Safety and Tolerability of NN9068 in Healthy Male Volunteers,COMPLETED,2009-09,PHASE1,24
NCT01835379,Study of Oasis Ultra in Diabetic Foot Ulcers,COMPLETED,2013-05,PHASE4,82
NCT05418179,"Effect of Probiotic Supplementation on Fecal Microbiota, Nutritional Status, Metabolic and Inflammatory Parameters in Patients With Type 2 Diabetes Mellitus",UNKNOWN,2021-12-01,NA,80
NCT06312579,At-Home Exercise Study for Veterans With Healed Diabetic Foot Ulcers,ENROLLING_BY_INVITATION,2024-10-01,PHASE2,50
NCT01220479,Exercise Training Intervention in Children With Type 1 Diabetes,COMPLETED,2001-09,NA,59
NCT03839979,"HCV Viral Hepatitis, Blood Sugar Level and Systolic Blood Pressure in Egypt",COMPLETED,2018-10-01,,71975
NCT04266379,Efficacy of Closed-loop Insulin Therapy in Adults Prone to Hypoglycemia,UNKNOWN,2020-05-13,NA,72
NCT05759884,Efficacy Analysis of Anti-VEGF Drugs Combined With Micropulse Laser in the Treatment of Diabetic Macular Edema,UNKNOWN,2022-02-01,NA,40
NCT00243984,Efficacy of Topiramate for Weight Loss in Subjects With Metabolic Syndrome,SUSPENDED,2005-03,PHASE3,90
NCT05915884,The Triglyceride/Glucose Index and SGLT-2 Inhibitors,COMPLETED,2023-06-10,,55
NCT04054284,Safety and Efficacy of Herbal Tea in Type 2 Diabetics,COMPLETED,2019-07-01,NA,60
NCT00964184,Phenotypic and Genetic Correlates of Diabetes (Non-Type 1) in Young Non-Obese Asian Indians in North India and A Study to Evaluate the Efficacy of Sitagliptin (DPP-4 Inhibitor) in a Sub-group of the Study Population,COMPLETED,2009-09,PHASE4,133
NCT02204384,Glycemic and Insulinemic Response With Different Sources of Soluble Fiber in Patients Type 2 Diabetes Mellitus,COMPLETED,2014-08,NA,19
NCT01556984,Changes of Endothelial Function Before and After DSA in Patients With Diabetes,COMPLETED,2012-10,,200
NCT03350984,Insulin Schemes for Type 2 Diabetes Control,COMPLETED,2017-11-02,PHASE4,75
NCT00648284,Cardiovascular (CV) Risk Evaluation In Type 2 Diabetes Subjects,COMPLETED,2004-03,,1100
NCT05633784,Telemedicine Home-based Management in Patients With CHF and Type 2 Diabetes,COMPLETED,2022-08-18,NA,163
NCT02838784,Efficacy and Safety of Artacent™ for Treatment Resistant Lower Extremity Venous and Diabetic Ulcers,UNKNOWN,2016-09,NA,134
NCT03152084,The Study Will Evaluate Average 24-hr Sodium Excretion During Dapagliflozin Treatment in Patients With Type 2 Diabetes Mellitus With Preserved or Impaired Renal Function or Non-diabetics With Impaired Renal Function.,TERMINATED,2017-07-12,PHASE4,24
NCT06573684,Differences In The Severity Of Diabetic Neuropathy Based On Electromyography In Type 2 Diabetes Mellitus Patients With And Without Comorbidities,COMPLETED,2024-01-01,,78
NCT00190502,Polyclonal Anti-T-Lymphocyte Globulin (ATG) in Type 1 Diabetes,UNKNOWN,2000-11,NA,28
NCT04665102,Pilot Study on Deep Learning in the Eye,UNKNOWN,2021-02-01,,120
NCT04102202,BOL-DP-o-05 as an Add-On Treatment of Subjects With Newly Diagnosed Type 1 Diabetes Mellitus,WITHDRAWN,2020-11-15,PHASE1|PHASE2,0
NCT03376802,A Clinical Study to Investigate the Effect of SAR425899 on Energy Expenditure in Obese Subjects,COMPLETED,2018-04-18,PHASE1,24
NCT05202002,Decrease Type II Diabetes in Gestational Diabetes Population,UNKNOWN,2021-03-01,NA,200
NCT05806502,Arginase Inhibition in Type 1 and Type 2 Diabetes Mellitus,COMPLETED,2018-11-01,NA,12
NCT00609102,Antioxidant Treatment of Type 2 Diabetes,COMPLETED,2008-07,EARLY_PHASE1,44
NCT02725502,Incretin Axis in Type 1 Diabetes Mellitus,UNKNOWN,2013-07,NA,20
NCT03781102,Type 2 Diabetes Prevention in Community Health Care Settings for at Risk Children and Mothers,TERMINATED,2019-07-01,NA,92
NCT00743002,A Trial of TT223 in Patients With Type 2 Diabetes Who Are Taking Metformin and/or Thiazolidinedione,COMPLETED,2008-08,PHASE2,87
NCT05061602,Biomechanical and Viscoelastic Properties of Plantar Fascia in Diabetes Mellitus,COMPLETED,2021-09-20,,50
NCT00475202,Hyperbaric Oxygen Therapy and Angiogenesis in Diabetic Patients With Foot Ulcers,UNKNOWN,,,0
NCT05377502,Performance and Patient Acceptance of a Commercially Available Beverage as Compared to an Oral Glucose Solution for Oral Glucose Tolerance Tests in Cystic Fibrosis (CF) Patients Who Are Screened for CF-related Diabetes.,UNKNOWN,2021-12-15,,20
NCT05605821,Influence of Diabetic Control on the Degree of Liver Fibrosis Assessed by Non-invasive Scores in Patients Followed in Diabetology,NOT_YET_RECRUITING,2024-01-15,,520
NCT02330484,Affect of Incentive Strategy on the Adherence to Medication Among Patients With Type 2 Diabetes,UNKNOWN,2014-03,NA,400
NCT05525884,Mechanism of Serum PRL in the Development of MAFLD,UNKNOWN,2017-01-01,,1000
NCT02231684,"Investigating the Pharmacokinetics of Subcutaneous Injections With 1 mg/mL, 3 mg/mL, and 10 mg/mL Semaglutide Strengths and the Absolute Bioavailability of Semaglutide",COMPLETED,2014-09,PHASE1,42
NCT02548702,Community-based Sport Programme and Type 2 Diabetes,UNKNOWN,2015-10,NA,4032
NCT01738802,The Effects of Micronutrients in Combination With Usual Care in Type 2 Diabetes,COMPLETED,2012-01,NA,111
NCT00948584,Insulin Dose Titration System Using a Short Messaging Service (SMS) Automatically Produced by a Knowledge Matrix,COMPLETED,2007-11,NA,100
NCT06959784,Assessing Incretin Therapy for Cardiovascular Risk Reduction and Diabetes Remission( ITCRDR Study),ENROLLING_BY_INVITATION,2024-01-01,PHASE4,142
NCT00226902,Vascular Reactivity in Kidney Disease Patients,COMPLETED,2006-09,NA,15
NCT06457802,Sit Less Program for Patients With Type 2 Diabetes,TERMINATED,2024-06-12,NA,4
NCT01087502,Safety and Efficacy of Linagliptin in Type-2-diabetes Mellitus Patients With Moderate to Severe Renal Impairment,COMPLETED,2010-03,PHASE3,241
NCT04143802,A Study of LY3437943 in Participants With Type 2 Diabetes Mellitus (T2DM),COMPLETED,2019-12-18,PHASE1,72
NCT01898702,Clinical Trial on Diabetes Expert Patients Programme,UNKNOWN,2013-05,NA,500
NCT05163002,Effectiveness of Nutrition Education in Carbohydrate Counting in People With Type 1 Diabetic,UNKNOWN,2021-05-10,NA,106
NCT01759121,Safety and Effectiveness Study of 532nm Laser Subthreshold Panretinal Photocoagulation for Severe NPDR,UNKNOWN,2016-03,NA,84
NCT03631121,Effects of Replacing Lantus With Basalin on the Glycemic Variation in Patients With Type 2 Diabetes Mellitus,UNKNOWN,2018-08-15,PHASE4,100
NCT06770621,Longitudinal Study of the GLUcagon REsponse to Hypoglycemia in Children and Adolescents With New-onset Type 1 DIAbetes,RECRUITING,2022-05-25,NA,1000
NCT02973321,A Study to Assess the Safety and Efficacy of SAR425899 in Patients With Type 2 Diabetes Mellitus,COMPLETED,2016-12-02,PHASE2,296
NCT02962921,Insulin Effects on Cardiac Function in Patients With Diabetes Mellitus,COMPLETED,2003-02,PHASE4,6
NCT03478202,GOLO Open-Label Pilot 1,COMPLETED,2017-08-01,NA,27
NCT01242202,A Study to Assess the Safety and Efficacy of ASP1941 in Combination With α-glucosidase Inhibitor in Type 2 Diabetic Patients,COMPLETED,2010-10-21,PHASE3,113
NCT00922402,Heart & Diabetes - Feasibility Study,WITHDRAWN,2009-06,NA,0
NCT02612402,Effect of Smartphone App on Activity,UNKNOWN,2014-07,NA,270
NCT05488002,"Pharmacists Interventions on Patients Diabetic, and Obese Patients in the UAE: Randomized Controlled Trials.",UNKNOWN,2022-08-01,NA,720
NCT02465021,Innovation of Breakfast Cereals and Snacks for Control of Appetite and Post-Prandial Glycemia,COMPLETED,2015-03,NA,30
NCT00732121,Bone Turnover in Type 2 Diabetes Patients,UNKNOWN,2008-08,PHASE4,20
NCT01322321,ACZ885 in Type 1 Diabetes Mellitus,WITHDRAWN,2011-03,PHASE2,0
NCT03932721,EXpanded Combination of Evolocumab Plus Empagliflozin on Diabetes: EXCEED-BHS3 Trial,COMPLETED,2018-10-01,PHASE4,110
NCT04395521,The Feasibility of a Facebook Group-based Program for Foot Self-management Support of Adults With Diabetes in Canada,COMPLETED,2021-02-16,NA,32
NCT03011021,Safety and Efficacy of Umbilical Cord Blood Regulatory T Cells Plus Liraglutide on Autoimmune Diabetes,UNKNOWN,2017-01,PHASE1|PHASE2,40
NCT01128621,"A Study in Type 2 Diabetic Subjects on Stable Metformin Therapy to Investigate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Co-administering Single and Multiple Oral Doses of GSK1292263",COMPLETED,2009-11-23,PHASE2,66
NCT05041621,A Learning Algorithm for MDI Individuals With Type 1 Diabetes to Adjust Recommendations for High Fat Meals and Exercise Management,COMPLETED,2021-07-07,NA,15
NCT05152121,Additional Insulin for High Fat/Protein in Type 1 Diabetes,COMPLETED,2017-07-01,NA,20
