nct_id,overall_status,phase,intervention_names,condition_mesh,study_type,sponsor,enrollment_count,start_date,completion_date,primary_completion_date,gender,min_age,max_age,allocation,masking
NCT00004079,COMPLETED,PHASE1,,,INTERVENTIONAL,,46.0,1999-08,,2005-09,,18 Years,,NA,NONE
NCT02591979,COMPLETED,,,,OBSERVATIONAL,,198.0,2015-03,2018-10,2018-10,,18 Years,75 Years,,
NCT03777579,SUSPENDED,PHASE3,,,INTERVENTIONAL,,375.0,2018-12-21,2020-07-30,2019-12-30,,18 Years,70 Years,RANDOMIZED,DOUBLE
NCT05017779,ENROLLING_BY_INVITATION,NA,,,INTERVENTIONAL,,224.0,2021-09-07,2025-11-30,2025-10-30,,14 Years,22 Years,RANDOMIZED,SINGLE
NCT06351579,NOT_YET_RECRUITING,,,,OBSERVATIONAL,,30.0,2024-06-15,2026-03-15,2025-12-30,,45 Years,70 Years,,
NCT04534179,COMPLETED,NA,,,INTERVENTIONAL,,50.0,2020-09-01,2021-01-15,2020-12-15,,25 Years,50 Years,RANDOMIZED,SINGLE
NCT06441279,COMPLETED,NA,,,INTERVENTIONAL,,60.0,2024-04-01,2024-10-01,2024-10-01,,18 Years,60 Years,RANDOMIZED,DOUBLE
NCT06426979,COMPLETED,NA,,,INTERVENTIONAL,,200.0,2023-01-01,2024-01-01,2023-06-01,,22 Years,60 Years,RANDOMIZED,SINGLE
NCT06671379,RECRUITING,PHASE3,,,INTERVENTIONAL,,500.0,2024-11-29,2027-06,2026-12,,18 Years,75 Years,RANDOMIZED,NONE
NCT04215679,RECRUITING,NA,,,INTERVENTIONAL,,36.0,2021-12-01,2026-05-01,2026-03-01,,18 Years,80 Years,RANDOMIZED,SINGLE
NCT03499379,COMPLETED,,,,OBSERVATIONAL,,39.0,2018-04-16,2019-12-31,2019-12-31,,18 Years,39 Years,,
NCT04669379,TERMINATED,NA,,,INTERVENTIONAL,,29.0,2021-06-15,2022-11-24,2022-11-21,,18 Years,,RANDOMIZED,NONE
NCT06233279,RECRUITING,NA,,,INTERVENTIONAL,,30.0,2022-11-15,2024-08-30,2024-04-30,,7 Years,12 Years,RANDOMIZED,SINGLE
NCT05338879,COMPLETED,,,,OBSERVATIONAL,,247.0,2022-06-22,2023-10-05,2023-10-05,,18 Years,,,
NCT02922179,COMPLETED,,,,OBSERVATIONAL,,103951.0,2011-01-01,2019-01,2015-09-30,,18 Years,,,
NCT03564379,COMPLETED,PHASE1,,,INTERVENTIONAL,,12.0,2018-06-12,2018-08-13,2018-08-13,,20 Years,55 Years,RANDOMIZED,DOUBLE
NCT02825979,UNKNOWN,NA,,,INTERVENTIONAL,,303.0,2017-01,2022-11,2022-09,,18 Years,,RANDOMIZED,NONE
NCT03785379,COMPLETED,NA,,,INTERVENTIONAL,,23.0,2013-02,2015-10,2015-10,,30 Years,64 Years,RANDOMIZED,NONE
NCT07017179,RECRUITING,PHASE2,,,INTERVENTIONAL,,871.0,2025-05-20,2026-08-06,2026-08-06,,18 Years,55 Years,RANDOMIZED,TRIPLE
NCT01226979,COMPLETED,NA,,,INTERVENTIONAL,,16.0,2010-10-26,2018-07-31,2016-09-23,,18 Years,100 Years,NA,NONE
NCT02859779,COMPLETED,NA,,,INTERVENTIONAL,,40.0,2017-02-04,2022-11-15,2017-04-12,,11 Years,16 Years,NA,NONE
NCT03565679,COMPLETED,NA,,,INTERVENTIONAL,,10.0,2018-05-09,2018-05-10,2018-05-10,,18 Years,50 Years,NON_RANDOMIZED,NONE
NCT00170079,COMPLETED,NA,,,INTERVENTIONAL,,270.0,2005-04,2011-06,2011-01,,18 Years,,RANDOMIZED,NONE
NCT06248879,WITHDRAWN,NA,,,INTERVENTIONAL,,,2024-02-28,2024-04,2024-04,,18 Years,65 Years,RANDOMIZED,DOUBLE
NCT06710379,RECRUITING,PHASE1,,,INTERVENTIONAL,,68.0,2024-12-30,2026-12,2026-07,,18 Years,,NON_RANDOMIZED,NONE
NCT01609179,COMPLETED,NA,,,INTERVENTIONAL,,9.0,2012-03,2012-11,2012-10,,18 Years,,NA,NONE
NCT02625779,WITHDRAWN,PHASE2,,,INTERVENTIONAL,,,2016-03-01,2017-04-30,2017-04-30,,19 Years,65 Years,RANDOMIZED,QUADRUPLE
NCT01977079,TERMINATED,NA,,,INTERVENTIONAL,,131.0,2013-12,2016-07,2016-07,,18 Years,,NON_RANDOMIZED,NONE
NCT05943379,RECRUITING,PHASE2,,,INTERVENTIONAL,,85.0,2023-06-08,2026-12-01,2025-12-01,,18 Years,,NON_RANDOMIZED,NONE
NCT04361279,COMPLETED,PHASE3,,,INTERVENTIONAL,,421.0,2019-07-25,2022-05-20,2022-05-20,,18 Years,75 Years,RANDOMIZED,TRIPLE
NCT03966079,COMPLETED,PHASE3,,,INTERVENTIONAL,,50.0,2017-01-01,2020-01-31,2020-01-31,,18 Years,,NA,NONE
NCT01186679,COMPLETED,PHASE1|PHASE2,,,INTERVENTIONAL,,12.0,2008-01,2010-08,2010-02,,20 Years,55 Years,NON_RANDOMIZED,NONE
NCT01298479,COMPLETED,,,,OBSERVATIONAL,,25.0,2010-05,2010-06,2010-06,,18 Years,65 Years,,
NCT01533779,UNKNOWN,,,,OBSERVATIONAL,,50.0,2012-02,2015-02,2015-02,,,21 Years,,
NCT05671679,COMPLETED,NA,,,INTERVENTIONAL,,44.0,2023-03-27,2024-05-08,2024-05-08,,18 Years,80 Years,RANDOMIZED,NONE
NCT06377579,RECRUITING,,,,OBSERVATIONAL,,250.0,2024-07-31,2025-12-01,2025-04-30,,18 Years,,,
NCT02740179,COMPLETED,NA,,,INTERVENTIONAL,,40.0,2017-01,2022-03-17,2022-03-17,,40 Years,65 Years,RANDOMIZED,QUADRUPLE
NCT00627679,COMPLETED,PHASE1,,,INTERVENTIONAL,,16.0,2005-12,2006-05,2005-12,,18 Years,50 Years,RANDOMIZED,TRIPLE
NCT05474079,RECRUITING,NA,,,INTERVENTIONAL,,80.0,2022-07-20,2026-01-01,2025-01-01,,50 Years,65 Years,RANDOMIZED,TRIPLE
NCT01892579,COMPLETED,NA,,,INTERVENTIONAL,,250.0,2013-11,2017-11-23,2017-08-23,,21 Years,,RANDOMIZED,SINGLE
NCT01173679,TERMINATED,PHASE2,,,INTERVENTIONAL,,10.0,2010-07,2015-01,2015-01,,18 Years,,NA,NONE
NCT02559479,UNKNOWN,NA,,,INTERVENTIONAL,,100.0,2015-09,2017-06,2017-06,,18 Years,70 Years,RANDOMIZED,NONE
NCT01334879,COMPLETED,PHASE1,,,INTERVENTIONAL,,10.0,2011-05,2012-11,2012-11,,21 Years,,NON_RANDOMIZED,NONE
NCT05827679,COMPLETED,,,,OBSERVATIONAL,,120.0,2023-03-15,2023-09-01,2023-09-01,,3 Days,60 Days,,
NCT04359979,UNKNOWN,NA,,,INTERVENTIONAL,,50.0,2020-05-01,2023-12-01,2023-05-01,,18 Years,,NA,NONE
NCT07037979,COMPLETED,,,,OBSERVATIONAL,,97.0,2023-01-01,2024-12-31,2024-12-31,,,,,
NCT01042379,RECRUITING,PHASE2,,,INTERVENTIONAL,,5000.0,2010-03-01,2031-12,2030-12,,18 Years,,RANDOMIZED,NONE
NCT01895179,COMPLETED,NA,,,INTERVENTIONAL,,8.0,2013-07,2017-11,2017-11,,35 Years,70 Years,RANDOMIZED,NONE
NCT06956079,NOT_YET_RECRUITING,NA,,,INTERVENTIONAL,,58.0,2025-05,2027-03-10,2027-03-10,,20 Years,80 Years,RANDOMIZED,TRIPLE
NCT04859179,UNKNOWN,,,,OBSERVATIONAL,,200.0,2021-03-10,2022-03,2022-03,,18 Years,,,
NCT04011579,COMPLETED,NA,,,INTERVENTIONAL,,126.0,2022-03-15,2023-10-20,2023-10-20,,18 Years,,RANDOMIZED,NONE
NCT01783379,COMPLETED,,,,OBSERVATIONAL,,20.0,2013-01,2014-03,2014-03,,18 Years,,,
NCT03845179,COMPLETED,NA,,,INTERVENTIONAL,,12.0,2019-05-29,2020-02-28,2020-02-28,,18 Years,,RANDOMIZED,DOUBLE
NCT05331079,UNKNOWN,NA,,,INTERVENTIONAL,,80.0,2022-04-25,2022-05-30,2022-05-30,,18 Years,28 Years,RANDOMIZED,SINGLE
NCT05909579,ACTIVE_NOT_RECRUITING,NA,,,INTERVENTIONAL,,50.0,2023-11-02,2025-05-31,2024-08-31,,18 Years,,NA,NONE
NCT00626379,COMPLETED,,,,OBSERVATIONAL,,1395.0,2007-11,2010-12,2010-08,,65 Years,84 Years,,
NCT03530579,COMPLETED,NA,,,INTERVENTIONAL,,954.0,2014-02-13,2015-02-13,2015-02-13,,18 Years,75 Years,NON_RANDOMIZED,
NCT00943579,COMPLETED,PHASE2|PHASE3,,,INTERVENTIONAL,,41.0,2009-08,2012-03,2011-12,,3 Years,6 Years,NA,NONE
NCT00748579,TERMINATED,PHASE2,,,INTERVENTIONAL,,2.0,2008-09,2009-07,2008-11,,18 Years,,NON_RANDOMIZED,NONE
NCT06384079,RECRUITING,,,,OBSERVATIONAL,,25.0,2024-09-24,2030-11,2025-11,,18 Years,,,
NCT03858179,COMPLETED,NA,,,INTERVENTIONAL,,40.0,2019-03-25,2022-05-13,2022-05-13,,18 Years,35 Years,RANDOMIZED,QUADRUPLE
NCT04123379,ACTIVE_NOT_RECRUITING,PHASE2,,,INTERVENTIONAL,,48.0,2020-03-05,2025-12-31,2025-12-31,,18 Years,99 Years,RANDOMIZED,NONE
NCT06584279,RECRUITING,,,,OBSERVATIONAL,,563.0,2024-10,2025-04,2025-02,,60 Years,80 Years,,
NCT06373679,RECRUITING,NA,,,INTERVENTIONAL,,225.0,2024-07-10,2027-05-01,2027-05-01,,21 Years,,RANDOMIZED,NONE
NCT00589979,COMPLETED,PHASE2,,,INTERVENTIONAL,,169.0,2007-03,2008-10,2008-06,,37 Years,,RANDOMIZED,TRIPLE
NCT01329679,TERMINATED,NA,,,INTERVENTIONAL,,26.0,2011-04,2013-07,2013-07,,18 Years,40 Years,RANDOMIZED,QUADRUPLE
NCT01971879,UNKNOWN,NA,,,INTERVENTIONAL,,20.0,2013-10,2013-12,2013-12,,18 Years,,RANDOMIZED,DOUBLE
NCT00643279,COMPLETED,NA,,,INTERVENTIONAL,,277.0,2003-03,2013-04,2005-06,,18 Years,,RANDOMIZED,SINGLE
NCT02359279,COMPLETED,NA,,,INTERVENTIONAL,,30.0,2015-08,2016-06,2016-06,,19 Years,99 Years,NA,NONE
NCT00305279,WITHDRAWN,NA,,,INTERVENTIONAL,,,2006-02,2009-12,2009-12,,21 Years,65 Years,RANDOMIZED,SINGLE
NCT06536179,RECRUITING,,,,OBSERVATIONAL,,70.0,2024-07-25,2027-01-25,2025-07-25,,,,,
NCT04739579,COMPLETED,,,,OBSERVATIONAL,,59.0,2021-01-27,2021-03-01,2021-02-01,,18 Years,,,
NCT05663879,UNKNOWN,PHASE1,,,INTERVENTIONAL,,86.0,2022-12-07,2023-07-31,2023-07-31,,19 Years,50 Years,RANDOMIZED,DOUBLE
NCT01727479,COMPLETED,NA,,,INTERVENTIONAL,,18.0,2012-08,2013-01,2013-01,,18 Years,50 Years,RANDOMIZED,TRIPLE
NCT04466579,COMPLETED,NA,,,INTERVENTIONAL,,100.0,2020-07-01,2023-06-30,2023-05-31,,3 Years,8 Years,RANDOMIZED,NONE
NCT05684679,COMPLETED,NA,,,INTERVENTIONAL,,30.0,2019-04-15,2019-08-25,2019-07-30,,40 Years,60 Years,RANDOMIZED,DOUBLE
NCT04086979,COMPLETED,NA,,,INTERVENTIONAL,,172.0,2013-09-01,2018-07-01,2018-07-01,,6 Years,11 Years,RANDOMIZED,SINGLE
NCT03583879,COMPLETED,NA,,,INTERVENTIONAL,,41.0,2018-09-28,2019-10-04,2019-10-04,,50 Years,85 Years,RANDOMIZED,NONE
NCT04779879,COMPLETED,PHASE2,,,INTERVENTIONAL,,354.0,2021-02-18,2022-04-06,2021-08-20,,18 Years,69 Years,RANDOMIZED,NONE
NCT07018479,COMPLETED,NA,,,INTERVENTIONAL,,38.0,2024-07-30,2025-01-20,2025-01-20,,18 Years,40 Years,NA,NONE
NCT01392079,COMPLETED,PHASE2,,,INTERVENTIONAL,,135.0,2008-02,2016-03,2012-01,,18 Years,,NA,NONE
NCT03093779,COMPLETED,,,,OBSERVATIONAL,,901.0,2016-12-09,2021-08-30,2021-08-30,,18 Years,70 Years,,
NCT04158479,RECRUITING,,,,OBSERVATIONAL,,20000.0,2017-01-01,2030-12-31,2030-12-31,,,,,
NCT06638879,RECRUITING,PHASE1,,,INTERVENTIONAL,,13.0,2024-09-17,2026-09-01,2026-09-01,,1 Year,40 Years,NA,NONE
NCT04012879,UNKNOWN,PHASE1,,,INTERVENTIONAL,,12.0,2019-05-01,2021-06-30,2021-04-30,,18 Years,65 Years,NA,NONE
NCT03821779,RECRUITING,NA,,,INTERVENTIONAL,,30.0,2019-11-12,2026-05-09,2026-05-09,,20 Years,50 Years,NON_RANDOMIZED,NONE
NCT04055779,UNKNOWN,,,,OBSERVATIONAL,,20.0,2019-08-01,2019-11,2019-11,,20 Years,50 Years,,
NCT06489379,NOT_YET_RECRUITING,NA,,,INTERVENTIONAL,,234.0,2024-07,2026-07,2025-07,,18 Years,,RANDOMIZED,NONE
NCT05652179,COMPLETED,NA,,,INTERVENTIONAL,,396.0,2023-01-10,2023-12-30,2023-12-01,,18 Years,80 Years,RANDOMIZED,QUADRUPLE
NCT00075179,TERMINATED,PHASE4,,,INTERVENTIONAL,,15.0,2003-12-31,2006-03-28,2006-03-28,,18 Years,85 Years,NA,NONE
NCT00271479,COMPLETED,PHASE4,,,INTERVENTIONAL,,720.0,2004-06,2006-11,,,2 Years,20 Years,RANDOMIZED,SINGLE
NCT00736879,COMPLETED,PHASE3,,,INTERVENTIONAL,,497.0,2008-09-22,2009-12-29,2009-12-29,,18 Years,77 Years,RANDOMIZED,DOUBLE
NCT01979679,COMPLETED,PHASE3,,,INTERVENTIONAL,,28.0,2008-12,,2013-10,,18 Years,60 Years,RANDOMIZED,QUADRUPLE
NCT01494779,UNKNOWN,PHASE1,,,INTERVENTIONAL,,32.0,2013-03,2013-08,2013-06,,18 Years,32 Years,RANDOMIZED,NONE
NCT00846079,UNKNOWN,PHASE3,,,INTERVENTIONAL,,100.0,2009-02,2009-09,2009-09,,18 Years,80 Years,NON_RANDOMIZED,NONE
NCT01938079,COMPLETED,NA,,,INTERVENTIONAL,,20.0,2013-09,2015-08,2015-02,,18 Years,90 Years,RANDOMIZED,NONE
NCT03141879,UNKNOWN,NA,,,INTERVENTIONAL,,48.0,2019-04,2019-08,2019-08,,65 Years,,RANDOMIZED,NONE
NCT00410579,COMPLETED,,,,OBSERVATIONAL,,744.0,2006-11,2009-02,2009-02,,,,,
NCT00005079,COMPLETED,PHASE3,,,INTERVENTIONAL,,,1999-01,2004-10,,,,,,
NCT06748079,RECRUITING,PHASE1,,,INTERVENTIONAL,,72.0,2024-12-03,2025-09,2025-09,,40 Years,75 Years,RANDOMIZED,TRIPLE
NCT01741779,COMPLETED,NA,,,INTERVENTIONAL,,60.0,2011-09,2012-04,2012-04,,45 Years,65 Years,RANDOMIZED,NONE
NCT06979479,ACTIVE_NOT_RECRUITING,,,,OBSERVATIONAL,,1102.0,2021-11-11,2025-06,2025-01-01,,,,,
NCT06586879,NOT_YET_RECRUITING,,,,OBSERVATIONAL,,220.0,2024-10,2026-09,2026-09,,8 Years,15 Years,,
NCT06228079,RECRUITING,PHASE3,,,INTERVENTIONAL,,176.0,2024-06-25,2028-06-30,2028-06-30,,18 Years,75 Years,RANDOMIZED,SINGLE
NCT00784979,COMPLETED,PHASE4,,,INTERVENTIONAL,,26.0,2002-01,2012-04,2010-12,,18 Years,,NA,NONE
NCT03626779,UNKNOWN,NA,,,INTERVENTIONAL,,10.0,2018-09-01,2019-08-30,2019-08-30,,20 Years,45 Years,RANDOMIZED,SINGLE
NCT01048879,COMPLETED,PHASE4,,,INTERVENTIONAL,,15.0,2009-10,2010-01,2010-01,,,,NON_RANDOMIZED,NONE
NCT03585179,UNKNOWN,PHASE3,,,INTERVENTIONAL,,120.0,2018-08-01,2020-06-01,2019-12-31,,18 Years,60 Years,RANDOMIZED,TRIPLE
NCT04973579,RECRUITING,,,,OBSERVATIONAL,,50.0,2021-05-01,2027-05-01,2022-05-01,,18 Years,,,
NCT03420079,UNKNOWN,PHASE1|PHASE2,,,INTERVENTIONAL,,90.0,2018-08-01,2021-12-20,2020-12-31,,18 Years,,NON_RANDOMIZED,NONE
NCT00890279,UNKNOWN,PHASE2,,,INTERVENTIONAL,,160.0,2009-07,2012-11,2010-06,,20 Years,60 Years,RANDOMIZED,NONE
NCT05763979,UNKNOWN,,,,OBSERVATIONAL,,400.0,2023-01-01,2023-06-15,2023-06-15,,18 Years,65 Years,,
NCT05409079,UNKNOWN,NA,,,INTERVENTIONAL,,35.0,2022-05-26,2023-06-30,2023-06-30,,10 Years,,NA,NONE
NCT02244879,COMPLETED,PHASE3,,,INTERVENTIONAL,,192.0,2013-10,2016-02,2016-02,,35 Years,85 Years,RANDOMIZED,TRIPLE
NCT02792179,COMPLETED,PHASE1,,,INTERVENTIONAL,,4.0,2016-07-19,2016-09-28,2016-09-28,,25 Years,,NON_RANDOMIZED,NONE
NCT02841579,COMPLETED,PHASE2,,,INTERVENTIONAL,,22.0,2016-09-02,2020-02-14,2018-12,,18 Years,,NA,NONE
NCT06634979,RECRUITING,NA,,,INTERVENTIONAL,,684.0,2024-05-01,2029-05-01,2026-05-01,,18 Years,80 Years,NA,NONE
NCT02695979,UNKNOWN,,,,OBSERVATIONAL,,100.0,2014-08,2019-08,2018-09,,18 Years,70 Years,,
NCT04306679,COMPLETED,NA,,,INTERVENTIONAL,,98.0,2019-06-20,2019-11-21,2019-11-20,,8 Years,17 Years,RANDOMIZED,NONE
NCT06940479,NOT_YET_RECRUITING,NA,,,INTERVENTIONAL,,46.0,2025-07,2028-07,2027-07,,18 Years,,NA,NONE
NCT00466479,COMPLETED,PHASE4,,,INTERVENTIONAL,,50.0,1999-08,2002-10,,,50 Years,70 Years,RANDOMIZED,SINGLE
NCT00537979,COMPLETED,PHASE4,,,INTERVENTIONAL,,147.0,2007-09,2010-07,2010-07,,18 Years,,NON_RANDOMIZED,NONE
NCT04766879,COMPLETED,NA,,,INTERVENTIONAL,,5984.0,2021-03-02,2023-12-09,2023-10-23,,6 Months,10 Years,RANDOMIZED,DOUBLE
NCT01951079,UNKNOWN,PHASE3,,,INTERVENTIONAL,,100.0,2013-11,2014-12,2014-11,,18 Years,50 Years,NA,NONE
NCT00396279,COMPLETED,PHASE2,,,INTERVENTIONAL,,37.0,2006-07-10,2011-02-01,2008-04-07,,18 Years,,NA,NONE
NCT04718779,COMPLETED,PHASE4,,,INTERVENTIONAL,,4.0,2021-04-22,2023-02-16,2023-02-16,,18 Years,,NON_RANDOMIZED,NONE
